"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Diet","FAD_Ma","LAD_Ma","Body_mass_mg","Body_mass_g","Brain_volume_cm3","Brain_volume_mm3","Olfactory_bulbs_mm3","Neocortex_surface_mm2","Brain_surface_mm2","OB_percentage","Neorcortex_surface_percentage","Collection.number","Status","NALMA.SALMA.ELMA.ALMA","PEQ","predicted","residuals"
"Mesonyx_obtusidens","Me_ob","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Mesonyx obtusidens","Mesonyx obtusidens","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",49.25,48.6,97372750,97372.75,80,80000,NA,NA,NA,NA,NA,"YPM 13141","literature","Bridgerian Br2",0.338612524405543,1.89951225991892,0.00357772707302262
"Uintatherium_anceps","Ui_an","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Dinocerata","Dinocerata","Eocene archaic taxa","middle Eocene","Herbivorous",49.25,39.8,1037055170,1037055.17,300,3e+05,41000,NA,NA,13.66666667,NA,"YPM 11036","literature","Br2-Ui3",0.346747930104087,2.46323266400826,0.0138885907113986
"Tetheopsis_ingens","Te_in","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Dinocerata","Dinocerata","Eocene archaic taxa","middle Eocene","Herbivorous",47.9,42.8,6270204030,6270204.03,365,365000,11000,NA,NA,3.01369863,NA,"YPM 11041","literature","early Uintan Ui1-Ui2",0.157174936728713,2.89203485384161,-0.329741989385133
"Thinocyon_velox","Th_ve","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",52.1,47.9,964130,964.13,6,6000,NA,NA,NA,NA,NA,"AMNH 12631","literature","Bridgerian Br1-Br3",0.319547572808232,0.799741025286116,-0.0215897749024723
"Tritemnodon_agilis","Tr_ag","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",52.1,47.9,9003080,9003.08,26,26000,NA,NA,NA,NA,NA,"YPM 10073","literature","Bridgerian",0.40641823136202,1.33212546075405,0.0828478872167677
"Cynohyaenodon_cayluxi","Cy_ca","Eocene","Eocene archaic taxa","middle to late Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",40.1,37,1358890,1358.89,8.3,8300,500,NA,NA,6.024096386,NA,"MH (809) - Jerison 1973","literature","MP 16-17b",0.366166437921589,0.881524854602606,0.0375532377734678
"Sinopa_lania","Si_la","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",50.05,47.9,4188520,4188.52,11.6036,11603.6,501.146,893.27,4560.47,4.318883795,19.58723553,"AMNH 13142","segmented","late Bridgerian Br1b-Br3",0.276022275297079,1.1497739134547,-0.0851811640916431
"Miacis_sylvestris","Mi_sy","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",49.25,47.9,1156670,1156.67,8.44566,8445.66,321.04,951.488,4202.62,3.801242295,22.64035292,"AMNH 129284","segmented","Bridgerian Br2-Br3",0.407032984583921,0.843129287198642,0.0835043066915715
"Oodectes_herpestoides","Oo_he","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",49.25,48.6,1172230,1172.23,7.6444,7644.4,378.898,708.3,2845.9,4.956543352,24.888436,"AMNH 140008","segmented","Bridgerian Br2",0.365725362720978,0.846313622213237,0.0370297816076918
"Viverravus_minutus","Vi_mi","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",49.25,48.6,313200,313.2,2.02899,2028.99,169.298,219.862,1374.83,8.343954381,15.99194082,"AMNH 12621","segmented","Bridgerian Br2",0.200264800357897,0.53180058444876,-0.224520677856775
"Vulpavus_profectus","Vu_pr","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",49.25,48.6,2573270,2573.27,12.066,12066,908.196,850.02,3987,7.526902039,21.31978932,"AMNH 12626","segmented","Bridgerian Br2",0.374979199815151,1.03368143941047,0.0478818815699193
"Vulpavus_ovatus","Vu_ov","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",52.1,49.25,3787570,3787.57,12.358,12358,1057.11,1069.42,4196.5,8.554054054,25.4836173,"AMNH 11498","segmented","Bridgerian Br1",0.31065472114182,1.12579552850797,-0.0338473376294082
"Moeritherium_lyonsi","Mo_ly","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Moeritherium lyonsi","Moeritherium lyonsi","Eocene crown clades","middle Eocene","Herbivorous",37.8,33.9,2.35e+08,235000,240,240000,NA,NA,NA,NA,NA,"BM 9176","literature","Priabonian",0.62643049440717,2.10946363983328,0.270747601878321
