"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Diet","FAD_Ma","LAD_Ma","Body_mass_mg","Body_mass_g","Brain_volume_cm3","Brain_volume_mm3","Olfactory_bulbs_mm3","Neocortex_surface_mm2","Brain_surface_mm2","OB_percentage","Neorcortex_surface_percentage","Collection.number","Status","NALMA.SALMA.ELMA.ALMA","PEQ","predicted","residuals"
"Mesonyx_obtusidens","Me_ob","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Mesonyx obtusidens","Mesonyx obtusidens","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",49.25,48.6,97372750,97372.75,80,80000,NA,NA,NA,NA,NA,"YPM 13141","literature","Bridgerian Br2",0.238019534967512,1.98479213805798,-0.0817021510660394
"Uintatherium_anceps","Ui_an","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Dinocerata","Dinocerata","Eocene archaic taxa","middle Eocene","Herbivorous",49.25,39.8,1037055170,1037055.17,300,3e+05,41000,NA,NA,13.66666667,NA,"YPM 11036","literature","Br2-Ui3",0.221143003033471,2.59076284229556,-0.1136415875759
"Tetheopsis_ingens","Te_in","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Dinocerata","Dinocerata","Eocene archaic taxa","middle Eocene","Herbivorous",47.9,42.8,6270204030,6270204.03,365,365000,11000,NA,NA,3.01369863,NA,"YPM 11041","literature","early Uintan Ui1-Ui2",0.0930902808739122,3.05170334235017,-0.489410477893697
"Thinocyon_velox","Th_ve","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",52.1,47.9,964130,964.13,6,6000,NA,NA,NA,NA,NA,"AMNH 12631","literature","Bridgerian Br1-Br3",0.27156376468451,0.802594110957563,-0.0244428605739189
"Tritemnodon_agilis","Tr_ag","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",52.1,47.9,9003080,9003.08,26,26000,NA,NA,NA,NA,NA,"YPM 10073","literature","Bridgerian",0.31507055515152,1.374880245973,0.0400931019978186
"Cynohyaenodon_cayluxi","Cy_ca","Eocene","Eocene archaic taxa","middle to late Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",40.1,37,1358890,1358.89,8.3,8300,500,NA,NA,6.024096386,NA,"MH (809) - Jerison 1973","literature","MP 16-17b",0.306821097901224,0.890507559338447,0.0285705330376271
"Sinopa_lania","Si_la","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",50.05,47.9,4188520,4188.52,11.6036,11603.6,501.146,893.27,4560.47,4.318883795,19.58723553,"AMNH 13142","segmented","late Bridgerian Br1b-Br3",0.220823773701577,1.1788616262207,-0.114268876857646
"Miacis_sylvestris","Mi_sy","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",49.25,47.9,1156670,1156.67,8.44566,8445.66,321.04,951.488,4202.62,3.801242295,22.64035292,"AMNH 129284","segmented","Bridgerian Br2-Br3",0.34333177339092,0.849234281219363,0.0773993126708503
"Oodectes_herpestoides","Oo_he","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",49.25,48.6,1172230,1172.23,7.6444,7644.4,378.898,708.3,2845.9,4.956543352,24.888436,"AMNH 140008","segmented","Bridgerian Br2",0.308319369390408,0.852657279069582,0.0306861247513465
"Viverravus_minutus","Vi_mi","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",49.25,48.6,313200,313.2,2.02899,2028.99,169.298,219.862,1374.83,8.343954381,15.99194082,"AMNH 12621","segmented","Bridgerian Br2",0.178247225067583,0.514571792712351,-0.207291886120365
